,H25_sex,rate_incident_rate,H25_age
0,1.0,0.674,1
1,1.0,0.682,1
2,1.0,0.683,1
3,1.0,0.69,3
4,1.0,0.692,3
5,1.0,0.693,3
6,1.0,0.695,2
7,1.0,0.696,1
8,1.0,0.697,1
9,1.0,0.701,1
10,1.0,0.704,1
11,1.0,0.713,1
12,1.0,0.725,1
13,1.0,0.738,1
14,1.0,0.741,3
15,1.0,0.746,1
16,1.0,0.747,1
17,1.0,0.749,1
18,1.0,0.75,1
19,1.0,0.751,1
20,1.0,0.752,3
21,1.0,0.754,6
22,1.0,0.755,4
23,1.0,0.756,2
24,1.0,0.757,3
25,1.0,0.761,2
26,1.0,0.762,3
27,1.0,0.766,1
28,1.0,0.768,1
29,1.0,0.77,1
30,1.0,0.773,1
31,1.0,0.774,7
32,1.0,0.775,2
33,1.0,0.777,1
34,1.0,0.778,3
35,1.0,0.78,1
36,1.0,0.782,5
37,1.0,0.783,1
38,1.0,0.784,4
39,1.0,0.785,6
40,1.0,0.786,5
41,1.0,0.787,1
42,1.0,0.788,8
43,1.0,0.789,3
44,1.0,0.79,3
45,1.0,0.791,6
46,1.0,0.792,3
47,1.0,0.793,7
48,1.0,0.794,2
49,1.0,0.795,8
50,1.0,0.796,6
51,1.0,0.797,2
52,1.0,0.798,1
53,1.0,0.799,1
54,1.0,0.8,3
55,1.0,0.801,1
56,1.0,0.802,4
57,1.0,0.803,4
58,1.0,0.805,1
59,1.0,0.806,4
60,1.0,0.807,3
61,1.0,0.808,6
62,1.0,0.809,3
63,1.0,0.811,5
64,1.0,0.812,2
65,1.0,0.813,1
66,1.0,0.814,2
67,1.0,0.815,2
68,1.0,0.816,1
69,1.0,0.818,1
70,1.0,0.82,2
71,1.0,0.821,1
72,1.0,0.822,2
73,1.0,0.823,1
74,1.0,0.824,3
75,1.0,0.825,2
76,1.0,0.826,4
77,1.0,0.827,3
78,1.0,0.828,2
79,1.0,0.829,1
80,1.0,0.83,5
81,1.0,0.831,6
82,1.0,0.832,3
83,1.0,0.833,4
84,1.0,0.834,5
85,1.0,0.835,5
86,1.0,0.836,2
87,1.0,0.837,5
88,1.0,0.838,5
89,1.0,0.839,2
90,1.0,0.84,4
91,1.0,0.842,5
92,1.0,0.843,1
93,1.0,0.844,3
94,1.0,0.845,5
95,1.0,0.846,2
96,1.0,0.847,3
97,1.0,0.848,12
98,1.0,0.849,16
99,1.0,0.85,1
100,1.0,0.851,8
101,1.0,0.852,11
102,1.0,0.853,3
103,1.0,0.854,17
104,1.0,0.855,10
105,1.0,0.856,7
106,1.0,0.857,6
107,1.0,0.858,5
108,1.0,0.859,5
109,1.0,0.86,8
110,1.0,0.861,17
111,1.0,0.862,20
112,1.0,0.863,21
113,1.0,0.864,9
114,1.0,0.865,2
115,1.0,0.866,12
116,1.0,0.867,13
117,1.0,0.868,5
118,1.0,0.869,10
119,1.0,0.87,14
120,1.0,0.871,11
121,1.0,0.872,19
122,1.0,0.873,17
123,1.0,0.874,17
124,1.0,0.875,8
125,1.0,0.876,18
126,1.0,0.877,14
127,1.0,0.878,9
128,1.0,0.879,12
129,1.0,0.88,12
130,1.0,0.881,10
131,1.0,0.882,6
132,1.0,0.883,5
133,1.0,0.884,10
134,1.0,0.885,13
135,1.0,0.886,7
136,1.0,0.887,10
137,1.0,0.888,11
138,1.0,0.889,13
139,1.0,0.89,18
140,1.0,0.891,9
141,1.0,0.892,14
142,1.0,0.893,13
143,1.0,0.894,22
144,1.0,0.895,17
145,1.0,0.896,21
146,1.0,0.897,8
147,1.0,0.898,10
148,1.0,0.899,24
149,1.0,0.9,10
150,1.0,0.901,27
151,1.0,0.902,31
152,1.0,0.903,29
153,1.0,0.904,82
154,1.0,0.905,34
155,1.0,0.906,31
156,1.0,0.907,29
157,1.0,0.908,27
158,1.0,0.909,27
159,1.0,0.91,27
160,1.0,0.911,56
161,1.0,0.912,31
162,1.0,0.913,28
163,1.0,0.914,18
164,1.0,0.915,25
165,1.0,0.916,17
166,1.0,0.917,50
167,1.0,0.918,29
168,1.0,0.919,31
169,1.0,0.92,20
170,1.0,0.921,44
171,1.0,0.922,28
172,1.0,0.923,21
173,1.0,0.924,34
174,1.0,0.925,53
175,1.0,0.926,34
176,1.0,0.927,28
177,1.0,0.928,32
178,1.0,0.929,44
179,1.0,0.93,41
180,1.0,0.931,48
