,H25_sex,delta_average,H25_age
0,1.0,-0.04486,1
1,1.0,-0.03468,1
2,1.0,-0.026,1
3,1.0,-0.02527,1
4,1.0,-0.0249,1
5,1.0,-0.02486,1
6,1.0,-0.02344,1
7,1.0,-0.02342,1
8,1.0,-0.0234,1
9,1.0,-0.0232,1
10,1.0,-0.02256,1
11,1.0,-0.02249,1
12,1.0,-0.02188,1
13,1.0,-0.02155,1
14,1.0,-0.02121,1
15,1.0,-0.02068,1
16,1.0,-0.02063,2
17,1.0,-0.02059,1
18,1.0,-0.02041,1
19,1.0,-0.02017,1
20,1.0,-0.01996,1
21,1.0,-0.01986,1
22,1.0,-0.01945,1
23,1.0,-0.0189,1
24,1.0,-0.01883,1
25,1.0,-0.01847,1
26,1.0,-0.01842,1
27,1.0,-0.01831,1
28,1.0,-0.01818,1
29,1.0,-0.01815,1
30,1.0,-0.01813,1
31,1.0,-0.01798,1
32,1.0,-0.01792,1
33,1.0,-0.01784,1
34,1.0,-0.01777,1
35,1.0,-0.01773,1
36,1.0,-0.01767,1
37,1.0,-0.01751,1
38,1.0,-0.01736,1
39,1.0,-0.01718,1
40,1.0,-0.01717,1
41,1.0,-0.01712,1
42,1.0,-0.01707,1
43,1.0,-0.01702,1
44,1.0,-0.01673,2
45,1.0,-0.01658,1
46,1.0,-0.01638,1
47,1.0,-0.01631,1
48,1.0,-0.01625,1
49,1.0,-0.01621,1
50,1.0,-0.01617,1
51,1.0,-0.01612,1
52,1.0,-0.01605,1
53,1.0,-0.01585,1
54,1.0,-0.01572,1
55,1.0,-0.01571,1
56,1.0,-0.01556,1
57,1.0,-0.01554,1
58,1.0,-0.0155,1
59,1.0,-0.01522,1
60,1.0,-0.01505,1
61,1.0,-0.01504,1
62,1.0,-0.01493,1
63,1.0,-0.01478,1
64,1.0,-0.01467,1
65,1.0,-0.01464,1
66,1.0,-0.01447,1
67,1.0,-0.01443,1
68,1.0,-0.01432,1
69,1.0,-0.01426,1
70,1.0,-0.01425,1
71,1.0,-0.01413,1
72,1.0,-0.01409,1
73,1.0,-0.01398,1
74,1.0,-0.01389,1
75,1.0,-0.01388,2
76,1.0,-0.01387,2
77,1.0,-0.01379,1
78,1.0,-0.01376,1
79,1.0,-0.01373,1
80,1.0,-0.0137,1
81,1.0,-0.01362,1
82,1.0,-0.01357,1
83,1.0,-0.01355,1
84,1.0,-0.01352,1
85,1.0,-0.01351,1
86,1.0,-0.01348,1
87,1.0,-0.01345,1
88,1.0,-0.0134,1
89,1.0,-0.01339,1
90,1.0,-0.01336,1
91,1.0,-0.01333,2
92,1.0,-0.01332,1
93,1.0,-0.01331,1
94,1.0,-0.01328,1
95,1.0,-0.01324,1
96,1.0,-0.01323,1
97,1.0,-0.01312,1
98,1.0,-0.01305,1
99,1.0,-0.01297,1
100,1.0,-0.01292,1
101,1.0,-0.01288,1
102,1.0,-0.01286,1
103,1.0,-0.01283,1
104,1.0,-0.01281,1
105,1.0,-0.01275,1
106,1.0,-0.01273,1
107,1.0,-0.01271,1
108,1.0,-0.01267,1
109,1.0,-0.01265,1
110,1.0,-0.01258,1
111,1.0,-0.01254,1
112,1.0,-0.01253,1
113,1.0,-0.01252,1
114,1.0,-0.01242,1
115,1.0,-0.01235,2
116,1.0,-0.01233,2
117,1.0,-0.01232,1
118,1.0,-0.0123,1
119,1.0,-0.01227,1
