,H25_sex,delta_incident_rate,H25_age
0,1.0,-4.7,1
1,1.0,-4.069,1
2,1.0,-3.719,1
3,1.0,-3.63,1
4,1.0,-3.292,1
5,1.0,-3.229,1
6,1.0,-3.154,1
7,1.0,-2.737,1
8,1.0,-2.698,1
9,1.0,-2.641,1
10,1.0,-2.555,1
11,1.0,-2.505,1
12,1.0,-2.497,1
13,1.0,-2.46,1
14,1.0,-2.426,1
15,1.0,-2.399,1
16,1.0,-2.346,1
17,1.0,-2.251,1
18,1.0,-2.201,1
19,1.0,-2.165,1
20,1.0,-2.103,1
21,1.0,-2.026,1
22,1.0,-1.945,1
23,1.0,-1.899,1
24,1.0,-1.897,1
25,1.0,-1.799,1
26,1.0,-1.797,1
27,1.0,-1.731,1
28,1.0,-1.722,1
29,1.0,-1.696,1
30,1.0,-1.693,1
31,1.0,-1.673,1
32,1.0,-1.667,1
33,1.0,-1.657,1
34,1.0,-1.639,1
35,1.0,-1.612,1
36,1.0,-1.583,1
37,1.0,-1.564,1
38,1.0,-1.555,1
39,1.0,-1.506,1
40,1.0,-1.498,1
41,1.0,-1.469,1
42,1.0,-1.468,1
43,1.0,-1.453,1
44,1.0,-1.446,1
45,1.0,-1.425,1
46,1.0,-1.404,1
47,1.0,-1.399,1
48,1.0,-1.397,1
49,1.0,-1.391,1
50,1.0,-1.387,1
51,1.0,-1.384,1
52,1.0,-1.364,1
53,1.0,-1.363,1
54,1.0,-1.33,1
55,1.0,-1.32,1
56,1.0,-1.295,1
57,1.0,-1.285,1
58,1.0,-1.279,1
59,1.0,-1.27,1
60,1.0,-1.264,1
61,1.0,-1.254,1
62,1.0,-1.245,1
63,1.0,-1.233,1
64,1.0,-1.227,1
65,1.0,-1.226,1
66,1.0,-1.222,1
67,1.0,-1.199,1
68,1.0,-1.186,1
69,1.0,-1.18,1
70,1.0,-1.172,2
71,1.0,-1.166,1
72,1.0,-1.147,1
73,1.0,-1.143,1
74,1.0,-1.141,1
75,1.0,-1.139,2
76,1.0,-1.131,1
77,1.0,-1.129,1
78,1.0,-1.127,1
79,1.0,-1.126,2
80,1.0,-1.124,1
81,1.0,-1.111,1
82,1.0,-1.11,1
83,1.0,-1.108,1
84,1.0,-1.106,1
85,1.0,-1.094,1
86,1.0,-1.088,1
87,1.0,-1.077,1
88,1.0,-1.076,1
89,1.0,-1.075,1
90,1.0,-1.073,1
91,1.0,-1.069,2
92,1.0,-1.062,1
93,1.0,-1.047,1
94,1.0,-1.042,1
95,1.0,-1.041,1
96,1.0,-1.038,1
97,1.0,-1.036,1
98,1.0,-1.032,1
99,1.0,-1.024,1
100,1.0,-1.022,2
101,1.0,-1.02,1
102,1.0,-1.017,1
103,1.0,-1.015,1
104,1.0,-1.008,1
105,1.0,-1.007,1
106,1.0,-1.006,1
107,1.0,-1.005,1
108,1.0,-1.0,1
109,1.0,-0.997,2
110,1.0,-0.993,1
111,1.0,-0.992,1
112,1.0,-0.986,1
113,1.0,-0.983,1
114,1.0,-0.982,1
115,1.0,-0.979,1
116,1.0,-0.977,1
117,1.0,-0.971,1
118,1.0,-0.966,2
119,1.0,-0.963,1
120,1.0,-0.961,1
121,1.0,-0.957,1
122,1.0,-0.954,1
123,1.0,-0.951,1
124,1.0,-0.947,1
125,1.0,-0.946,2
126,1.0,-0.945,1
127,1.0,-0.944,1
128,1.0,-0.935,1
129,1.0,-0.933,1
130,1.0,-0.931,1
131,1.0,-0.923,3
132,1.0,-0.92,1
133,1.0,-0.918,1
134,1.0,-0.916,1
135,1.0,-0.913,1
136,1.0,-0.91,1
137,1.0,-0.895,1
138,1.0,-0.894,1
139,1.0,-0.891,1
140,1.0,-0.887,1
141,1.0,-0.885,1
142,1.0,-0.883,2
143,1.0,-0.88,1
144,1.0,-0.879,1
145,1.0,-0.869,1
146,1.0,-0.868,1
147,1.0,-0.864,1
148,1.0,-0.863,1
149,1.0,-0.862,1
150,1.0,-0.861,1
151,1.0,-0.857,1
152,1.0,-0.856,1
153,1.0,-0.853,1
154,1.0,-0.85,1
155,1.0,-0.848,2
156,1.0,-0.845,1
157,1.0,-0.843,1
158,1.0,-0.842,2
159,1.0,-0.841,1
160,1.0,-0.838,1
161,1.0,-0.833,1
162,1.0,-0.831,1
163,1.0,-0.83,1
164,1.0,-0.827,2
165,1.0,-0.824,1
166,1.0,-0.823,2
167,1.0,-0.822,1
168,1.0,-0.817,1
169,1.0,-0.812,1
170,1.0,-0.811,1
171,1.0,-0.81,1
172,1.0,-0.803,2
173,1.0,-0.797,2
174,1.0,-0.794,1
175,1.0,-0.793,1
